"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","Leaf_VIS_Spectral_Absorption"
"BNL12850","CAR I","HR-1024i","KRU-FER","Krugiodendron","ferreum (Vahl) Urb.","Mid","122.876059836242","20170304",0.927239558095802
"BNL12851","CAR I","HR-1024i","GYM-LUC","Gymnanthes","lucida Sw.","Upper","164.49232022279","20170304",0.942367579565102
"BNL12852","CAR I","HR-1024i","GYM-LUC","Gymnanthes","lucida Sw.","Upper","134.473217924652","20170304",0.936778666706033
"BNL12853","CAM II","HR-1024i","KRU-FER","Krugiodendron","ferreum (Vahl) Urb.","Mid","342.651390129431","20170304",0.942843682524715
"BNL12854","CAR I","HR-1024i","SID-SAL","Sideroxylon","salicifolium (L.) Lam.","Upper","371.214140778874","20170304",0.925353025953356
"BNL12855","CAR I","HR-1024i","ZAN-MAR","Zanthoxylum","martinicense (Lam.) DC.","Mid","253.635293346396","20170304",0.931858776277659
"BNL12856","CAM II","HR-1024i","LIC-PAR","Licaria","parvifolia (Lam.) Kosterm.","Mid","560.452846570644","20170304",0.952487839200878
"BNL12857","CAM II","HR-1024i","ZAN-MAR","Zanthoxylum","martinicense (Lam.) DC.","Mid","208.789107203363","20170304",0.948906558635718
"BNL12858","CAM II","HR-1024i","KRU-FER","Krugiodendron","ferreum (Vahl) Urb.","Mid","189.78150217467","20170304",0.92849433893652
"BNL12859","CAM II","HR-1024i","GYM-LUC","Gymnanthes","lucida Sw.","Mid","212.438980404957","20170304",0.948130911924308
"BNL12860","CAR I","HR-1024i","SID-SAL","Sideroxylon","salicifolium (L.) Lam.","Upper","232.869197511099","20170304",0.924690526890739
"BNL12861","CAR I","HR-1024i","LIC-PAR","Licaria","parvifolia (Lam.) Kosterm.","Upper","398.888066862988","20170305",0.955337992133341
"BNL12701","FLMM","PSR+3500","PTE-OFF","Pterocarpus","officinalis",NA,"30.6503817665664","20170305",0.898853580080894
"BNL12702","FLMM","PSR+3500","PTE-OFF","Pterocarpus","officinalis",NA,"132.078050359005","20170305",0.938652266839536
"BNL12703","FLMM","PSR+3500","PTE-OFF","Pterocarpus","officinalis",NA,"116.502274259841","20170305",0.93170252817985
"BNL12704","FLMM","PSR+3500","PTE-OFF","Pterocarpus","officinalis",NA,"243.40385142244","20170305",0.948857590464452
"BNL12705","FLMM","PSR+3500","PTE-OFF","Pterocarpus","officinalis",NA,"93.3815251811983","20170305",0.938235615249344
"BNL12706","FLMM","PSR+3500","ZAN-MAR","Zanthoxylum","martinicense",NA,"191.327799699363","20170305",0.948784014469893
"BNL12707","FLMM","PSR+3500","ZAN-MAR","Zanthoxylum","martinicense",NA,"319.301827942901","20170305",0.957299116127279
"BNL12708","FLMM","PSR+3500","ZAN-MAR","Zanthoxylum","martinicense",NA,"196.99304388236","20170305",0.950004960580102
"BNL12709","FLMM","PSR+3500","ZAN-MAR","Zanthoxylum","martinicense",NA,"200.318305882568","20170305",0.939153401015477
"BNL12710","FLMM","PSR+3500","ZAN-MAR","Zanthoxylum","martinicense",NA,"246.580567581961","20170305",0.943624220472178
"BNL12717","FLMM","PSR+3500","MAM-AMA","Mammea","americana","Upper","212.536645406435","20170305",0.949265209465722
"BNL12872","FLMM","PSR+3500","BOU-SUC","Bourreria","succculenta","Upper","53.0317981249458","20170305",0.882797676464201
"BNL12873","FLMM","PSR+3500","MAM-AME","Mammea","americana","Lower","104.453894977909","20170305",0.916098857797472
"BNL12874","FLMM","PSR+3500","MAM-AME","Mammea","americana","Lower","68.7898293615893","20170305",0.931876241213071
"BNL12875","FLMM","PSR+3500","BUR-SIM","Bursera","simaruba","Upper","188.461193537696","20170305",0.930504829537055
"BNL12876","FLMM","PSR+3500","BUR-SIM","Bursera","simaruba","Upper","74.894275632758","20170305",0.876772354687841
"BNL12877","FLMM","PSR+3500","ZAN-MAR","Zanthoxylum","martinicense","Upper","361.593084053385","20170305",0.938361829966255
