"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","Red","Blue","Far_Red"
"BNL12702","FLMM","PSR+3500","PTE-OFF","Pterocarpus","officinalis",NA,"132.078050359005","20170305",0.94160849381213,0.958646760199968,0.228351615207455
"BNL12703","FLMM","PSR+3500","PTE-OFF","Pterocarpus","officinalis",NA,"116.502274259841","20170305",0.937422618341679,0.958715504414286,0.18679644730417
"BNL12704","FLMM","PSR+3500","PTE-OFF","Pterocarpus","officinalis",NA,"243.40385142244","20170305",0.95395933510552,0.95917986762307,0.27525086299573
"BNL12705","FLMM","PSR+3500","PTE-OFF","Pterocarpus","officinalis",NA,"93.3815251811983","20170305",0.941423079816102,0.958825272501385,0.194190634397848
"BNL12706","FLMM","PSR+3500","ZAN-MAR","Zanthoxylum","martinicense",NA,"191.327799699363","20170305",0.955654750916385,0.95920650161342,0.262573548762498
"BNL12707","FLMM","PSR+3500","ZAN-MAR","Zanthoxylum","martinicense",NA,"319.301827942901","20170305",0.96101575285529,0.959353767179451,0.315789720355302
"BNL12708","FLMM","PSR+3500","ZAN-MAR","Zanthoxylum","martinicense",NA,"196.99304388236","20170305",0.956175865358336,0.959230915424604,0.262805647922659
"BNL12709","FLMM","PSR+3500","ZAN-MAR","Zanthoxylum","martinicense",NA,"200.318305882568","20170305",0.945367714425714,0.958821366086575,0.235978440263854
"BNL12710","FLMM","PSR+3500","ZAN-MAR","Zanthoxylum","martinicense",NA,"246.580567581961","20170305",0.951164256355125,0.959025103982244,0.283724469586819
"BNL12717","FLMM","PSR+3500","MAM-AMA","Mammea","americana","Upper","212.536645406435","20170305",0.954248713833322,0.95920792669077,0.260732617960866
"BNL12872","FLMM","PSR+3500","BOU-SUC","Bourreria","succculenta","Upper","53.0317981249458","20170305",0.887148811455555,0.953526804728027,0.149603434414422
"BNL12873","FLMM","PSR+3500","MAM-AME","Mammea","americana","Lower","104.453894977909","20170305",0.92343063628234,0.957025882796536,0.202255315747899
"BNL12874","FLMM","PSR+3500","MAM-AME","Mammea","americana","Lower","68.7898293615893","20170305",0.942116686980235,0.958524143989033,0.191288689581961
"BNL12875","FLMM","PSR+3500","BUR-SIM","Bursera","simaruba","Upper","188.461193537696","20170305",0.936490937118429,0.958294743139413,0.22636961173704
"BNL12876","FLMM","PSR+3500","BUR-SIM","Bursera","simaruba","Upper","74.894275632758","20170305",0.865452860203678,0.952870940314794,0.115719010407794
"BNL12877","FLMM","PSR+3500","ZAN-MAR","Zanthoxylum","martinicense","Upper","361.593084053385","20170305",0.939680010430441,0.95883803963259,0.283422523135896
"BNL12878","FLMM","PSR+3500","CAL-CAN","Calycophyllum","candidissimum","Upper","231.115933217196","20170305",0.934260863590575,0.958478972658358,0.243360617924021
"BNL12879","FLMM","PSR+3500","CAL-CAN","Calycophyllum","candidissimum","Upper","99.910328411503","20170305",0.942876911399284,0.958655082280728,0.198023208685349
"BNL12880","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","63.9192495513136","20170305",0.91112518380074,0.956236082771969,0.152225788065402
"BNL12881","FLMM","PSR+3500","COR-DEN","Cordia","dentata","Upper","111.439123656522","20170305",0.927914533423204,0.957754973810021,0.189387325452414
"BNL12882","FLMM","PSR+3500","COR-DEN","Cordia","dentata","Upper","18.4045223186029","20170305",0.806273912078857,0.942819540421309,0.103126760461714
"BNL12883","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","147.683284516718","20170305",0.922990062227536,0.95745171620751,0.201446746696953
"BNL12884","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","39.7718082496005","20170305",0.886940597624955,0.953661708693409,0.157351760205498
"BNL12885","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Lower","157.292547295134","20170305",0.932838133232738,0.957871630890154,0.198687747523071
"BNL12886","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Lower","130.347640817372","20170305",0.955275251816138,0.959118643680016,0.287375250970681
"BNL12887","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Lower","253.719794903203","20170305",0.953955846661313,0.959122381466119,0.344079723656791
"BNL12888","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","231.903958966492","20170305",0.95742627938871,0.959225422436613,0.295652867223747
"BNL12889","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","154.531843920518","20170305",0.941843496288884,0.958524922642793,0.229541797980461
"BNL12890","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Lower","0.027702317540191","20170305",NA,NA,NA
"BNL12891","FLMM","PSR+3500","MAM-AME","Mammea","americana","Upper","5.84878015778391","20170305",0.957083269708731,0.959248786232084,0.304750681629295
"BNL12892","FLMM","PSR+3500","MAM-AME","Mammea","americana","Upper","53.9530257340795","20170305",0.954122739529701,0.959108176141258,0.417219289709764
