SampleID,Site,Latitude,Longitude,Sample_Type,Date,Species_Number,Species_ID,Full_Species_Name,Genus,Species,Leaf_Age,Canopy_Position,Light_Exposure
BNL12745,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Old-epiphyll,Upper,Sunlit
BNL12745T,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Old-epiphyll,Upper,Sunlit
BNL12746,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Old,Upper,Sunlit
BNL12746T,FLMM,18.387864,-66.028765,GasEx / Fs,20170306,3,COC-PUB,Coccoloba pubescens,Coccoloba,pubescens,Old,Upper,Sunlit
BNL12747,IITF,18.38923,-66.05525,GasEx / Fs,20170307,8-1 (IITF parking),SWI-MAC,Swietenia macrophylla,Swietenia,macrophylla,Senescent ,Upper,Sunlit
BNL12747T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,8-1 (IITF parking),SWI-MAC,Swietenia macrophylla,Swietenia,macrophylla,Senescent ,Upper,Sunlit
BNL12748,IITF,18.38923,-66.05525,GasEx / Fs,20170307,8-2 (IITF parking),SWI-MAC,Swietenia macrophylla,Swietenia,macrophylla,Senescent ,Upper,Sunlit
BNL12748T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,8-2 (IITF parking),SWI-MAC,Swietenia macrophylla,Swietenia,macrophylla,Senescent ,Upper,Sunlit
BNL12749,IITF,18.38923,-66.05525,GasEx / Fs,20170307,8-3 (IITF parking),SWI-MAC,Swietenia macrophylla,Swietenia,macrophylla,Senescent ,Upper,Sunlit
BNL12749T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,8-3 (IITF parking),SWI-MAC,Swietenia macrophylla,Swietenia,macrophylla,Senescent ,Upper,Sunlit
BNL12750,IITF,18.38923,-66.05525,GasEx / Fs,20170307,8-4 (IITF parking),SWI-MAC,Swietenia macrophylla,Swietenia,macrophylla,Senescent ,Upper,Sunlit
BNL12750T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,8-4 (IITF parking),SWI-MAC,Swietenia macrophylla,Swietenia,macrophylla,Senescent ,Upper,Sunlit
BNL12751,IITF,18.38923,-66.05525,GasEx / Fs,20170307,8-5 (IITF parking),SWI-MAC,Swietenia macrophylla,Swietenia,macrophylla,Senescent ,Upper,Sunlit
BNL12751T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,8-5 (IITF parking),SWI-MAC,Swietenia macrophylla,Swietenia,macrophylla,Senescent ,Upper,Sunlit
BNL12752,IITF,18.38923,-66.05525,GasEx / Fs,20170307,2-1 (IITF parking),AND-INE,Andira inermis (MOCA),Andira,inermis (MOCA),Young,Upper,Sunlit
BNL12752T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,2-1 (IITF parking),AND-INE,Andira inermis (MOCA),Andira,inermis (MOCA),Young,Upper,Sunlit
BNL12753,IITF,18.38923,-66.05525,GasEx / Fs,20170307,2-2 (IITF parking),AND-INE,Andira inermis (MOCA),Andira,inermis (MOCA),Young,Upper,Sunlit
BNL12753T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,2-2 (IITF parking),AND-INE,Andira inermis (MOCA),Andira,inermis (MOCA),Young,Upper,Sunlit
BNL12754,IITF,18.38923,-66.05525,GasEx / Fs,20170307,2-1 (IITF parking),AND-INE,Andira inermis (MOCA),Andira,inermis (MOCA),Mature,Upper,Sunlit
BNL12754T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,2-1 (IITF parking),AND-INE,Andira inermis (MOCA),Andira,inermis (MOCA),Mature,Upper,Sunlit
BNL12755,IITF,18.38923,-66.05525,GasEx / Fs,20170307,2-2 (IITF parking),AND-INE,Andira inermis (MOCA),Andira,inermis (MOCA),Mature-Old,Upper,Sunlit
BNL12755T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,2-2 (IITF parking),AND-INE,Andira inermis (MOCA),Andira,inermis (MOCA),Mature-Old,Upper,Sunlit
BNL12756,IITF,18.38923,-66.05525,GasEx / Fs,20170307,2-3 (IITF parking),AND-INE,Andira inermis (MOCA),Andira,inermis (MOCA),Old,Upper,Sunlit
BNL12756T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,2-3 (IITF parking),AND-INE,Andira inermis (MOCA),Andira,inermis (MOCA),Old,Upper,Sunlit
BNL12757,IITF,18.38923,-66.05525,GasEx / Fs,20170307,2-3 (IITF parking),AND-INE,Andira inermis (MOCA),Andira,inermis (MOCA),Mature,Upper,Sunlit
BNL12757T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,2-3 (IITF parking),AND-INE,Andira inermis (MOCA),Andira,inermis (MOCA),Mature,Upper,Sunlit
BNL12758,IITF,18.38923,-66.05525,GasEx / Fs,20170307,5-1 (IITF parking),CAL-ANT,Calophyllum antillanum,Calophyllum,antillanum,Mature-Old,Upper,Sunlit
BNL12758T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,5-1 (IITF parking),CAL-ANT,Calophyllum antillanum,Calophyllum,antillanum,Mature-Old,Upper,Sunlit
